251,252,251,251,252,251,251,252,251,251,252,251,251,252,251,251,252,251,251,252
259,261,259,260,261,259,260,261,259,260,261,259,260,261,259,260,261,259,260,261
262,264,262,263,264,262,263,264,262,263,264,262,263,264,262,263,264,262,263,264
100,100,100,100,251,251,251,251,251,251,251,251,251,251,251,100,100,100,100,100
100,100,100,100,261,150,152,150,300,150,300,150,152,150,261,100,100,100,100,100
100,100,100,100,261,150,153,150,300,150,300,150,153,150,261,100,100,100,100,100
100,100,100,100,264,151,262,150,203,150,203,150,262,151,264,100,100,100,100,100
100,100,100,100,100,100,100,101,102,102,102,103,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,104,106,106,106,105,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,104,106,106,106,105,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,104,106,106,106,105,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,104,106,106,106,105,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,104,106,106,106,105,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,104,106,106,106,105,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,104,106,106,106,105,100,100,100,100,100,100,100,100
252,251,251,252,251,251,252,108,107,107,107,109,252,251,251,252,251,251,252,251
